lat,lon,ele,time,temperature,lat_glatt,lon_glatt,ele_glatt,time_s,ds,ds_orig,s_orig,dt,s,v,a,dh,phi_rad,phi_grad,rho,F_D,F_H,F_A,F_Antrieb,P,T_drehmoment,I_motor,SOC
47.572733,12.138947,484.087105,2024-08-23 17:59:01.784000+00:00,29.318353662868017,47.575286399999996,12.1419437,482.848578,5867.597,84.06962595370058,16.219866284287477,30750.29911746282,2.774999999999636,27964.891088826334,7.431373023585062,-0.0426968232751021,0.012101799999982177,-0.0042947239827059,-0.246069558382664,1.1885555340408729,18.460783658100127,-3.370489020354613,-3.415745862008168,18.81361614256384,173.1287332104093,6.777615609846477,4.78892775435032,0.6260566622283109
47.572482,12.138505,484.590058,2024-08-23 17:59:09.639000+00:00,28.686964092662983,47.5747578,12.141315299999999,482.9879884,5875.452,75.34536507079801,43.340759865082134,30793.6398773279,7.855000000000473,28040.236453897134,7.4598918079060885,-0.04492120203460213,0.13941040000003113,-0.0032047624988233146,-0.18361936552437538,1.1885451697617044,18.602584257054065,-2.5150933038592953,-3.59369616276817,19.95323363867252,183.3985553813474,7.110944670819348,4.957831365601184,0.6257862194131942
47.572271,12.137935,485.156065,2024-08-23 17:59:18.517000+00:00,28.21535395460647,47.5742637,12.1406982,483.228003,5884.33,71.84368932915898,48.77437670964517,30842.414254037543,8.877999999999702,28112.080143226292,7.920076475884549,-0.022747076978465276,0.24001459999999497,-0.002202887115706413,-0.1262161344737245,1.188527326409987,20.968166320352882,-1.728824410157877,-1.819766158277222,20.966490482506195,193.90475872884952,7.465327795077378,5.1315256032451835,0.6254698466055164
47.572091,12.137357,485.710272,2024-08-23 17:59:27.831000+00:00,28.690327415346157,47.5737864,12.1400748,483.54157110000006,5893.644,70.73722538440114,47.75742500741295,30890.171679044957,9.314000000000306,28182.817368610693,8.249647941586485,0.006106759916808356,0.31356810000005453,-0.0012406858816773364,-0.07108606472157881,1.1885040152904676,22.749089262521743,-0.9736900301399152,0.48854079334466843,22.037239418690955,205.0122368370203,7.831062870514724,5.309094746279995,0.62512645140783
47.571892,12.136833,486.064182,2024-08-23 17:59:36.455000+00:00,28.94935179029145,47.5733319,12.1394621,483.9127634,5902.268,68.31312020792556,45.11005796955867,30935.281737014517,8.623999999999796,28251.130488818617,9.253253162726129,0.013306417185947843,0.3711922999999615,-0.00051339045234416,-0.02941510616163259,1.1884764208930694,28.620155537849907,-0.40290880930060013,1.0645133748758275,23.172797965316555,216.75173299965084,8.201757047689254,5.4895651225904,0.6247976874521548
47.571616,12.136356,486.384668,2024-08-23 17:59:44.818000+00:00,28.80524109059868,47.572884300000005,12.138836600000001,484.33140620000006,5910.631,68.40284602506435,47.14211718771601,30982.423854202232,8.363000000000284,28319.53333484368,9.276473124314762,0.01584740065393882,0.4186428000000433,4.386767013754084e-05,0.0025134323559531657,1.188445299799146,28.763220451166134,0.03442734751290021,1.2677920523151056,24.36363275254275,228.5195162744568,8.56604040478217,5.671889674739438,0.6244682845816697
47.571037,12.135483,487.009014,2024-08-23 17:59:58.680000+00:00,28.64863701555365,47.5725074,12.1382231,484.80591480000004,5924.493,62.24603414914039,91.8384266582003,31074.262280860432,13.86200000000008,28381.77936899282,9.288605747780405,0.019808577457276808,0.47450859999997874,0.0005263908157592082,0.030159972117451132,1.18841002673529,28.837652088296725,0.4131114931298353,1.5846861965821446,25.630341942746426,240.45014414440942,8.923692832775073,5.854932347900274,0.6239046660246794
47.570574,12.13477,487.078069,2024-08-23 18:00:07.973000+00:00,28.928337344794578,47.5721339,12.1375808,485.2781349,5933.786,63.61284598641802,74.24075509479871,31148.50303595523,9.292999999999665,28445.392214979238,9.308598349827392,0.025729076509673546,0.4722200999999586,0.000892593013941072,0.05114181252168528,1.1883749248286772,28.96106936761384,0.7005069043227008,2.058326120773884,27.048494030079073,253.01257866676318,9.272967717461093,6.037485752770778,0.6235150385587037
47.570242,12.134192,486.953707,2024-08-23 18:00:15.433000+00:00,28.979647795222835,47.5717772,12.1369481,485.69320200000004,5941.246,61.85518452582371,56.94856580486596,31205.451601760094,7.460000000000036,28507.24739950506,9.867385284543227,0.030519009114866866,0.4150671000000443,0.0011626524466774293,0.06661507823517569,1.1883440721769534,32.54160037618143,0.9124494345835313,2.4415207291893495,28.496425399831374,265.71655725029717,9.612360041519649,6.218135608328591,0.6231929045889945
47.570031,12.133778,486.868705,2024-08-23 18:00:20.147000+00:00,29.086079495518764,47.5714969,12.136415600000001,485.99018449999994,5945.96,50.66833197117554,38.92472711096797,31244.37632887106,4.713999999999942,28557.915731476234,10.03049793435557,0.03128930251848739,0.2969824999998991,0.001278839366937952,0.07327209840072668,1.1883219974483232,33.62572472542621,1.0036328616109498,2.503144201478991,29.946741567303903,278.2335617353806,9.93463146685944,6.395413896369617,0.6229835436090814
47.569808,12.133263,486.768451,2024-08-23 18:00:25.354000+00:00,28.71935494379482,47.5712044,12.1358472,486.2583191,5951.167,53.62959072576252,45.90898576429732,31290.28531463536,5.207000000000335,28611.545322201997,9.750447730933576,0.030064457487858708,0.26813460000005307,0.0015095628461307172,0.08649157999304659,1.188302067338233,31.7737519556158,1.1847044716964608,2.4051565990286967,31.368365262524716,290.3367303548614,10.23809728514966,6.567899793220847,0.6227460501769752
47.569694,12.132974,486.706455,2024-08-23 18:00:28.555000+00:00,28.311440959841573,47.570925599999995,12.1352941,486.46995880000003,5954.368,51.79582946078738,25.11517872174674,31315.400493357105,3.201000000000022,28663.341151662786,9.99629782781705,0.028706485039529554,0.21163970000003474,0.0016948657525926222,0.09710865446482121,1.188286336659573,33.39581207070498,1.330130005819236,2.2965188031623645,32.69704688881645,301.8691305260444,10.52559580630566,6.734207858994361,0.6225963543481096
47.56937,12.132016,486.493562,2024-08-23 18:00:39.229000+00:00,28.46835684321666,47.570635499999995,12.1347022,486.6037085,5965.042,54.88485074842333,80.39588452014755,31395.796377877254,10.673999999999978,28718.226002411207,10.021990055936415,0.03243739121550475,0.133749699999953,0.0017812530327119837,0.10205828101927504,1.1882763954678945,33.56741796773922,1.397926640833953,2.59499129724038,33.821959508782285,312.3740753410193,10.794410399021961,6.893081627073418,0.6220854046725027
47.569166,12.131537,486.381028,2024-08-23 18:00:44.887000+00:00,28.99825448325418,47.570342999999994,12.1341202,486.67078409999993,5970.7,54.44491143360726,42.496491389976825,31438.292869267232,5.657999999999447,28772.670913844813,9.964166948170817,0.035686443632711104,0.06707559999995283,0.0019003025908300316,0.10887931825233658,1.1882714099822564,33.18105344831166,1.4913565756976634,2.8549154906168885,35.00812858941498,322.79360334115745,11.04257249263548,7.043506676900687,0.6218086535559896
47.568993,12.131271,486.307629,2024-08-23 18:00:48.339000+00:00,27.986532164506382,47.5700531,12.133564,486.6951288,5974.152,52.728267103737544,27.718250090070185,31466.011119357303,3.4520000000002256,28825.399180948552,9.771497362315642,0.03230849919011705,0.024344700000085595,0.0019630240381474967,0.11247299246857947,1.188269600534332,31.910216893653754,1.5405802757094327,2.584679935209364,36.14932185624835,332.58663333129704,11.270494061648664,7.1843779067998685,0.6216364280522794
47.568707,12.131003,486.197886,2024-08-23 18:00:52.682000+00:00,28.57933665443645,47.5697622,12.1330287,486.67645060000007,5978.495,51.566224215146065,37.62467170201195,31503.635791059314,4.342999999999847,28876.965405163697,9.883449042794496,0.029924927513734635,-0.018678199999953904,0.001998682883064659,0.1145160937846444,1.188270988812858,32.645631960101696,1.5685652822953389,2.3939942010987707,36.97606687238017,340.89723014523736,11.48133233566154,7.314637161036114,0.6214158206273461
47.568599,12.130927,486.125715,2024-08-23 18:00:54.208000+00:00,28.19833059383632,47.5695184,12.1325731,486.58812070000005,5980.021,43.62573858374079,13.29391054001001,31516.929701599325,1.52599999999984,28920.59114374744,10.164245485407301,0.02640165811623165,-0.08832990000001928,0.002012315907453179,0.11529720854410552,1.1882775540554276,34.52714874638684,1.5792644583191384,2.112132649298532,37.64218882733247,348.6909478650346,11.67441528170913,7.433637378670171,0.621337044720125
47.568158,12.13052,485.812107,2024-08-23 18:01:00.537000+00:00,28.40937241146741,47.5692768,12.1321481,486.4615245,5986.35,41.693484396280695,57.766802671862884,31574.69650427119,6.329000000000633,28962.28462814372,10.149183871662974,0.023407619704377484,-0.12659620000005134,0.002010537233726421,0.11519529804643149,1.1882869635571722,34.425170905184174,1.5778685580021763,1.8726095763501989,37.79916175096315,353.88169695756295,11.8477551587427,7.540898819689885,0.621005611743529
47.567904,12.130199,485.610602,2024-08-23 18:01:04.667000+00:00,29.03422593130365,47.569043,12.1317488,486.327214,5990.48,39.6644795990629,37.117180248281215,31611.81368451947,4.1299999999992,29001.94910774278,10.229491527300052,0.02353544319622224,-0.13431049999996958,0.001987485433320637,0.11387452717300209,1.1882969465202982,34.972413623710565,1.5597775411904482,1.882835455697779,38.01619295824631,358.9191216743714,12.000874701065202,7.636531801626345,0.6207865917689407
47.567649,12.129779,485.380473,2024-08-23 18:01:09.525000+00:00,28.49054953400995,47.568804799999995,12.131348899999999,486.17839080000005,5995.338,40.02069745230063,42.38992291253484,31654.203607432006,4.858000000000175,29041.96980519508,10.64610977524124,0.023346934166052363,-0.14882319999998117,0.0019244212709608308,0.11026121683125742,1.1883080082740236,37.879429985615346,1.5102848812521836,1.867754733284189,38.176503679595235,363.26817747684464,12.133997572766482,7.720556992588177,0.620526130200399
47.56758,12.129642,485.310841,2024-08-23 18:01:11.006000+00:00,28.418218274078075,47.568582000000006,12.1309868,486.0326298,5996.819,36.76631064895938,12.826287457359559,31667.029894889365,1.4810000000006767,29078.73611584404,10.856883085792802,0.0182128973940449,-0.14576100000005,0.0018576004490851753,0.10643266575418692,1.1883188425198925,39.394522141633864,1.4578439940163281,1.457031791523592,38.2906136107605,366.98554519857686,12.242261875484877,7.793058421256582,0.6204459807592748
47.567364,12.129165,485.192207,2024-08-23 18:01:16.165000+00:00,27.71507192951004,47.568349,12.1306059,485.88120499999997,6001.978,38.572977841026265,43.099815933453236,31710.129710822817,5.158999999999651,29117.309093685068,10.994061662440574,0.013007823166409506,-0.15142480000002934,0.001812171237885944,0.1038297636858625,1.1883300978540503,40.39670706465097,1.4221912090883277,1.0406258533127604,38.03412285966561,368.26627165304797,12.323893418414377,7.854162540913956,0.6201645944776875
47.566553,12.126583,486.528774,2024-08-23 18:01:51.323000+00:00,28.76812678301361,47.5680673,12.130062599999999,485.88472620000005,6037.136,51.40636857509828,213.67952577736756,31923.809236600184,35.15800000000036,29168.715462260167,11.03332071520706,0.014169764939883716,0.003521200000079716,0.0017746876283159677,0.10168211105658667,1.1883298361237,40.68572105782183,1.3927741196079992,1.1335811951906973,37.749316056222426,368.72346170962743,12.380711384050487,7.904488263386787,0.6182346917112697
47.566458,12.126336,486.712662,2024-08-23 18:01:55.063000+00:00,28.71774209057054,47.5677965,12.1295425,485.9178896,6040.876,49.28798262627018,21.330977761986027,31945.14021436217,3.7399999999997817,29218.003444886435,10.932839305748958,0.011473896556698934,0.03316339999997808,0.0017454712385428547,0.10000813522997812,1.188327371095203,39.947955838812206,1.3698451324305425,0.9179117245359147,37.57288780986732,369.04312753027887,12.413282699927832,7.944739559840289,0.6180283491699238
47.565982,12.125471,487.434606,2024-08-23 18:02:08.869000+00:00,29.47662736165273,47.5674954,12.1289625,486.0305872999999,6054.682,54.90440195700726,83.74543562682912,32028.885649989,13.805999999999585,29272.90784684344,10.710509603071007,0.007015224920269004,0.11269769999989876,0.0017393398234081953,0.0996568310203195,1.1883189943372476,38.33944661192892,1.3650332051373288,0.5612179936215203,37.26316080127707,368.07917138771677,12.42446608532452,7.975505651628068,0.617263697565574
47.565565,12.124839,488.006339,2024-08-23 18:02:20.420000+00:00,28.2411108825235,47.5671812,12.128346099999998,486.21143259999997,6066.233,57.95954396545189,66.32087323830982,32095.20652322731,11.551000000000386,29330.867390808893,10.846304078983843,0.00763774115544663,0.18084530000004406,0.0017844162943271085,0.10223952255931743,1.1883055523291324,39.31734733451486,1.4004091646041466,0.6110192924357304,36.906507190501976,366.5182724501008,12.418554978369025,7.997557974696064,0.6166221712310899
47.56499,12.124122,488.34555,2024-08-23 18:02:34.019000+00:00,28.50457516383197,47.5668203,12.1276656,486.43341610000004,6079.832,64.93912057851534,83.55787711605579,32178.764400343363,13.59900000000016,29395.806511387407,10.764834663183683,0.010456867827263419,0.2219835000000785,0.001858684660195484,0.10649478647490879,1.188289052777216,38.728382153653065,1.4586948814267695,0.8365494261810735,36.5704375620601,364.68001226430124,12.393615792038709,8.011781206724402,0.6158655586433798
47.564628,12.123728,488.53443,2024-08-23 18:02:39.925000+00:00,28.519691841855376,47.5664673,12.126986400000002,486.7056484,6085.738,64.32295568555699,49.94153224145204,32228.705932584817,5.905999999999949,29460.129467072966,10.287278915839766,0.015160319212908368,0.2722322999999278,0.0019209466989546585,0.11006213851968943,1.1882688186537735,35.36781757599874,1.5075580421819201,1.2128255370326695,36.33819316644294,362.85880730087285,12.35004982893653,8.019021250313124,0.6155366673968218
